country,show_id,continent,market_type
Japan,80234491,Asia,Primary
France,80155475,Europe,Primary
United Kingdom,80226089,Europe,Primary
Czech Republic,80185065,Other,Primary
United States,80148535,North America,Primary
Germany,80173176,Europe,Primary
Spain,80163159,Europe,Primary
Belgium,70275600,Other,Primary
Germany,70298926,Europe,Primary
United States,80132127,North America,Primary
United States,80224167,North America,Primary
Taiwan,81147910,Other,Primary
Germany,70285728,Europe,Primary
Germany,80243728,Europe,Primary
Turkey,81151880,Other,Primary
Turkey,81151877,Other,Primary
Turkey,81151878,Other,Primary
Canada,80134952,North America,Primary
Italy,60021787,Europe,Primary
United States,80211623,North America,Primary
Australia,80201039,Oceania,Primary
France,80146805,Europe,Primary
Mexico,80173606,North America,Primary
United States,81091957,North America,Primary
China,80039662,Other,Primary
Japan,80195357,Asia,Primary
United States,80209061,North America,Primary
India,80176707,Asia,Primary
Armenia,80182274,Other,Primary
Canada,70209163,North America,Primary
Argentina,80184661,Other,Primary
Bermuda,70308278,Other,Primary
United Kingdom,80175483,Europe,Primary
Iran,81005454,Other,Primary
France,80223371,Europe,Primary
United States,80105356,North America,Primary
United States,80168033,North America,Primary
United States,80124099,North America,Primary
United Kingdom,70119812,Europe,Primary
Canada,70266677,North America,Primary
Australia,70301367,Oceania,Primary
South Korea,80014727,Asia,Primary
Germany,70039168,Europe,Primary
United States,1171655,North America,Primary
China,80039485,Other,Primary
Hong Kong,70043379,Other,Primary
France,80232892,Europe,Primary
United States,70124268,North America,Primary
United States,70248183,North America,Primary
France,80167646,Europe,Primary
China,80208951,Other,Primary
Belgium,80118918,Other,Primary
Argentina,80105690,Other,Primary
Morocco,70295170,Other,Primary
Colombia,80222823,Other,Primary
United States,80226962,North America,Primary
Spain,80161104,Europe,Primary
South Africa,80175352,Other,Primary
United Kingdom,80049832,Europe,Primary
United States,81083880,North America,Primary
India,80227115,Asia,Primary
Turkey,80227117,Other,Primary
United Kingdom,80194610,Europe,Primary
Syria,80217848,Other,Primary
China,70130142,Other,Primary
United Kingdom,80048940,Europe,Primary
Australia,80142316,Oceania,Primary
United States,80164212,North America,Primary
United States,80096782,North America,Primary
New Zealand,80184682,Other,Primary
Norway,70260989,Other,Primary
United Kingdom,80991404,Europe,Primary
United States,80117684,North America,Primary
Zimbabwe,80052683,Other,Primary
United Kingdom,81014345,Europe,Primary
Australia,80238655,Oceania,Primary
United Kingdom,80012520,Europe,Primary
Germany,80061161,Europe,Primary
United States,70225722,North America,Primary
United Kingdom,80045629,Europe,Primary
United States,80216834,North America,Primary
United States,80036657,North America,Primary
France,80112518,Europe,Primary
United States,80196883,North America,Primary
France,81080942,Europe,Primary
China,80215782,Other,Primary
Canada,70217161,North America,Primary
France,80180225,Europe,Primary
France,70040077,Europe,Primary
China,80189853,Other,Primary
Canada,70142918,North America,Primary
Singapore,80176265,Other,Primary
France,80098475,Europe,Primary
Canada,70124562,North America,Primary
Belgium,80156683,Other,Primary
Mexico,80171982,North America,Primary
Belgium,80156856,Other,Primary
Netherlands,81041391,Other,Primary
Singapore,81019144,Other,Primary
United States,80198988,North America,Primary
Germany,70058016,Europe,Primary
China,80233085,Other,Primary
United States,81088283,North America,Primary
United States,70063591,North America,Primary
United Arab Emirates,81052280,Other,Primary
Germany,70110558,Europe,Primary
China,80103336,Other,Primary
Japan,80231373,Asia,Primary
Canada,70061480,North America,Primary
Brazil,80202808,South America,Primary
India,80041337,Asia,Primary
United Kingdom,80049281,Europe,Primary
Italy,70099610,Europe,Primary
Canada,80156408,North America,Primary
India,80172938,Asia,Primary
Russia,80131414,Other,Primary
United States,80125512,North America,Primary
Ireland,70270745,Other,Primary
United States,70177067,North America,Primary
United States,80113201,North America,Primary
Japan,80131479,Asia,Primary
United Kingdom,70295760,Europe,Primary
France,80166239,Europe,Primary
Colombia,80025172,Other,Primary
United Kingdom,70157231,Europe,Primary
Canada,80214792,North America,Primary
Japan,80992228,Asia,Primary
Ireland,80020935,Other,Primary
Czech Republic,80195378,Other,Primary
United States,80036165,North America,Primary
New Zealand,80107077,Other,Primary
United Kingdom,80171004,Europe,Primary
United States,80147923,North America,Primary
France,80028732,Europe,Primary
Canada,80115341,North America,Primary
United Kingdom,80213643,Europe,Primary
Spain,70205672,Europe,Primary
Canada,80212245,North America,Primary
United States,70221438,North America,Primary
United States,70264612,North America,Primary
United States,80025678,North America,Primary
Canada,70234440,North America,Primary
Australia,80101401,Oceania,Primary
Mexico,80107369,North America,Primary
Japan,80023612,Asia,Primary
Brazil,80198459,South America,Primary
United States,70252898,North America,Primary
United Kingdom,70210883,Europe,Primary
Mexico,80075820,North America,Primary
United States,80025273,North America,Primary
United States,80154610,North America,Primary
United States,70202589,North America,Primary
France,80101826,Europe,Primary
Canada,80987906,North America,Primary
United States,70157434,North America,Primary
Canada,80099753,North America,Primary
United Kingdom,80022276,Europe,Primary
United States,70136114,North America,Primary
Canada,70153390,North America,Primary
Australia,80027772,Oceania,Primary
United States,80134440,North America,Primary
United Kingdom,80105452,Europe,Primary
United States,80100172,North America,Primary
Japan,80000139,Asia,Primary
United States,80007778,North America,Primary
Belgium,81079046,Other,Primary
Canada,70155579,North America,Primary
Germany,80130521,Europe,Primary
France,80045811,Europe,Primary
Canada,80057611,North America,Primary
United States,80202146,North America,Primary
Canada,80036416,North America,Primary
United States,80100105,North America,Primary
Australia,80025553,Oceania,Primary
Canada,70136129,North America,Primary
United Kingdom,70175670,Europe,Primary
United Kingdom,80152118,Europe,Primary
New Zealand,80084164,Other,Primary
United Kingdom,70180293,Europe,Primary
United States,80158104,North America,Primary
Colombia,80153272,Other,Primary
United Kingdom,70288470,Europe,Primary
Germany,70302614,Europe,Primary
Italy,80020971,Europe,Primary
France,70184127,Europe,Primary
Japan,70184128,Asia,Primary
France,80145143,Europe,Primary
Singapore,70252973,Other,Primary
United States,70180088,North America,Primary
United States,80112415,North America,Primary
Hungary,70177084,Other,Primary
Sweden,80092654,Other,Primary
Mexico,70296346,North America,Primary
United States,80105699,North America,Primary
South Korea,80196221,Asia,Primary
Brazil,80095299,South America,Primary
Brazil,80156006,South America,Primary
Germany,80079255,Europe,Primary
South Korea,80164216,Asia,Primary
United States,80115328,North America,Primary
United States,80096545,North America,Primary
United States,80046347,North America,Primary
Austria,80162994,Other,Primary
Netherlands,80200087,Other,Primary
United Arab Emirates,70118953,Other,Primary
Sweden,81137482,Other,Primary
United States,80121855,North America,Primary
United Arab Emirates,80211540,Other,Primary
Qatar,80017272,Other,Primary
China,80196379,Other,Primary
Austria,80135149,Other,Primary
Belgium,80013550,Other,Primary
United States,80202728,North America,Primary
United States,80042309,North America,Primary
United States,80108952,North America,Primary
Germany,80106038,Europe,Primary
China,81006594,Other,Primary
Qatar,80115874,Other,Primary
United States,80081277,North America,Primary
France,80244855,Europe,Primary
Greece,70261978,Other,Primary
Greece,70279637,Other,Primary
Greece,80049171,Other,Primary
Greece,80048250,Other,Primary
Japan,70271454,Asia,Primary
Canada,70142824,North America,Primary
United States,70202600,North America,Primary
United Kingdom,70128695,Europe,Primary
United States,80192627,North America,Primary
France,70297799,Europe,Primary
Afghanistan,80097375,Other,Primary
United Kingdom,80016401,Europe,Primary
Italy,80007215,Europe,Primary
United States,80168084,North America,Primary
Netherlands,80058480,Other,Primary
Belgium,80058477,Other,Primary
France,70298926,Europe,Primary
Belgium,70285728,Other,Primary
Mexico,80182274,North America,Primary
Kuwait,80217848,Other,Primary
Sweden,70260989,Other,Primary
Germany,70225722,Europe,Primary
Singapore,80189853,Other,Primary
Germany,80202808,Europe,Primary
Japan,80095299,Asia,Primary
Japan,80156006,Asia,Primary
South Korea,81145628,Asia,Primary
Spain,70304989,Europe,Primary
Denmark,70304990,Other,Primary
United Kingdom,70299204,Europe,Primary
United States,80988892,North America,Primary
United States,80159586,North America,Primary
Italy,80200087,Europe,Primary
United States,80115346,North America,Primary
Germany,80216172,Europe,Primary
United Kingdom,80119815,Europe,Primary
France,80017275,Europe,Primary
Spain,70118953,Europe,Primary
United Kingdom,80149143,Europe,Primary
United States,80037280,North America,Primary
Canada,70117312,North America,Primary
South Korea,81174992,Asia,Primary
United States,80187228,North America,Primary
Canada,70039185,North America,Primary
France,81137482,Europe,Primary
Austria,81014988,Other,Primary
Israel,80121855,Other,Primary
Spain,80168028,Europe,Primary
Italy,80200913,Europe,Primary
United States,80114155,North America,Primary
United States,80031666,North America,Primary
Nepal,80170301,Other,Primary
Italy,81004460,Europe,Primary
United States,80191963,North America,Primary
China,80224362,Other,Primary
Canada,80066073,North America,Primary
Serbia,80990221,Other,Primary
Germany,81078456,Europe,Primary
Germany,70295169,Europe,Primary
United States,81043190,North America,Primary
Morocco,81035748,Other,Primary
France,81034575,Europe,Primary
United States,80232279,North America,Primary
Morocco,81035749,Other,Primary
South Africa,80089199,Other,Primary
United States,80992769,North America,Primary
Thailand,80211540,Other,Primary
Netherlands,80148070,Other,Primary
Germany,80155812,Europe,Primary
United Kingdom,80240972,Europe,Primary
United States,80210932,North America,Primary
Poland,81168338,Other,Primary
Canada,60002273,North America,Primary
Australia,70095135,Oceania,Primary
United States,70170051,North America,Primary
United Kingdom,60034571,Europe,Primary
Germany,70039175,Europe,Primary
Belgium,80062096,Other,Primary
United States,80150246,North America,Primary
Canada,80017272,North America,Primary
Japan,80163353,Asia,Primary
France,80098709,Europe,Primary
Canada,80057250,North America,Primary
New Zealand,70113005,Other,Primary
France,81004245,Europe,Primary
United Kingdom,80097475,Europe,Primary
Belgium,81082007,Other,Primary
United States,60020826,North America,Primary
Hong Kong,80239961,Other,Primary
Switzerland,80196379,Other,Primary
Canada,60023606,North America,Primary
United Kingdom,70121502,Europe,Primary
United States,70087538,North America,Primary
Mexico,70135899,North America,Primary
Japan,81215438,Asia,Primary
United States,80085566,North America,Primary
Canada,70243692,North America,Primary
Belgium,81132624,Other,Primary
Chile,70293315,Other,Primary
United Kingdom,81037898,Europe,Primary
Mexico,81034946,North America,Primary
Russia,80208213,Other,Primary
United Kingdom,449931,Europe,Primary
Italy,60021796,Europe,Primary
Canada,60031247,North America,Primary
France,81150305,Europe,Primary
France,70084791,Europe,Primary
Australia,70060017,Oceania,Primary
United States,70266675,North America,Primary
United Kingdom,70142542,Europe,Primary
Sweden,80215139,Other,Primary
United States,80189866,North America,Primary
Canada,80195964,North America,Primary
Albania,80244782,Other,Primary
Russia,80148223,Other,Primary
China,80100106,Other,Primary
France,70154110,Europe,Primary
United States,70253596,North America,Primary
United States,80047031,North America,Primary
France,70287630,Europe,Primary
Uruguay,80082660,Other,Primary
Argentina,80232894,Other,Primary
Samoa,80169548,Other,Primary
France,70113532,Europe,Primary
Sweden,80174617,Other,Primary
United States,80148210,North America,Primary
India,70129463,Asia,Primary
Germany,80144454,Europe,Primary
United States,80135149,North America,Primary
Australia,70283202,Oceania,Primary
United States,81059944,North America,Primary
South Africa,80013550,Other,Primary
United States,60029366,North America,Primary
India,81013990,Asia,Primary
Czech Republic,80156538,Other,Primary
United States,60002907,North America,Primary
Sudan,80202728,Other,Primary
Mexico,81025973,North America,Primary
Canada,81029736,North America,Primary
Italy,80996787,Europe,Primary
Japan,80996790,Asia,Primary
Canada,80042309,North America,Primary
France,80108952,Europe,Primary
United States,80195901,North America,Primary
Ireland,80128245,Other,Primary
United Kingdom,70038131,Europe,Primary
Australia,70135893,Oceania,Primary
Sweden,81105525,Other,Primary
Japan,80094358,Asia,Primary
Germany,80104706,Europe,Primary
Israel,80190515,Other,Primary
Norway,80106038,Other,Primary
India,70057994,Asia,Primary
Switzerland,81039323,Other,Primary
United States,80245121,North America,Primary
United States,80099089,North America,Primary
France,81039161,Europe,Primary
France,80025495,Europe,Primary
Hong Kong,70278930,Other,Primary
Germany,80022605,Europe,Primary
India,81006594,Asia,Primary
United Kingdom,80195962,Europe,Primary
Germany,80115874,Europe,Primary
Australia,80190463,Oceania,Primary
United Kingdom,80073823,Europe,Primary
Canada,80027378,North America,Primary
France,70293661,Europe,Primary
Canada,70257413,North America,Primary
Germany,80993650,Europe,Primary
United States,70293812,North America,Primary
Peru,80106928,Other,Primary
Luxembourg,80081277,Other,Primary
France,81024041,Europe,Primary
United States,70101345,North America,Primary
United Kingdom,70021661,Europe,Primary
Canada,60027701,North America,Primary
Serbia,80085300,Other,Primary
Italy,70142888,Europe,Primary
Qatar,80096786,Other,Primary
Sweden,70301484,Other,Primary
Belgium,80998427,Other,Primary
United Arab Emirates,70307659,Other,Primary
Italy,80244855,Europe,Primary
Spain,70261978,Europe,Primary
Spain,70279637,Europe,Primary
Spain,80049171,Europe,Primary
Spain,80048250,Europe,Primary
United States,70109891,North America,Primary
France,70271454,Europe,Primary
United States,70268449,North America,Primary
Malaysia,70142824,Other,Primary
United States,80057599,North America,Primary
France,70114021,Europe,Primary
Belgium,80118718,Other,Primary
United Kingdom,60000878,Europe,Primary
United States,80028965,North America,Primary
Italy,80119140,Europe,Primary
Brazil,80098203,South America,Primary
West Germany,70202600,Other,Primary
Dominican Republic,80109128,Other,Primary
China,80187188,Other,Primary
Singapore,81035731,Other,Primary
France,70124183,Europe,Primary
Germany,60026106,Europe,Primary
Mexico,523650,North America,Primary
Canada,70065096,North America,Primary
Germany,70000091,Europe,Primary
United States,70128695,North America,Primary
United Kingdom,60029154,Europe,Primary
United Kingdom,70103524,Europe,Primary
United States,70020296,North America,Primary
Mexico,5670479,North America,Primary
West Germany,60020949,Other,Primary
Mexico,70045866,North America,Primary
Germany,70307648,Europe,Primary
Bangladesh,80084756,Other,Primary
Italy,80192627,Europe,Primary
Belgium,70297799,Other,Primary
Netherlands,80097375,Other,Primary
Netherlands,80036832,Other,Primary
Japan,70213084,Asia,Primary
Japan,70213082,Asia,Primary
Japan,70213081,Asia,Primary
Japan,70213078,Asia,Primary
Japan,70213074,Asia,Primary
Japan,70213073,Asia,Primary
Japan,70213072,Asia,Primary
Canada,70287605,North America,Primary
United Kingdom,80167667,Europe,Primary
Australia,80038446,Oceania,Primary
Belgium,70252885,Other,Primary
Italy,80123777,Europe,Primary
